"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
6	0.80173534133476	16	19	"Heart"	0
7	0.805712735446865	18	19	"Heart"	0
8	0.791846305120641	15	19	"Heart"	0
9	0.783698938066817	11	19	"Heart"	0
10	0.804951095609978	14	19	"Heart"	0
11	0.763467821594104	13	19	"Heart"	0
12	0.775564713064713	11	19	"Heart"	0
13	0.813215558419895	14	19	"Heart"	0
14	0.792133084577114	14	19	"Heart"	0
15	0.803570051661655	14	19	"Heart"	0
16	0.794434539958143	13	19	"Heart"	0
17	0.822934098334529	16	19	"Heart"	0
18	0.801772388059702	13	19	"Heart"	0
19	0.865513054037644	14	19	"Heart"	0
20	0.791089932682853	14	19	"Heart"	0
21	0.843306720409271	16	19	"Heart"	0
22	0.782196221045142	15	19	"Heart"	0
23	0.793687810945274	15	19	"Heart"	0
24	0.769356431882076	15	19	"Heart"	0
25	0.824761904761905	18	19	"Heart"	0
26	0.778684701492537	15	19	"Heart"	0
27	0.777777777777778	13	19	"Heart"	0
28	0.791428571428571	14	19	"Heart"	0
29	0.81243735060529	15	19	"Heart"	0
30	0.793593761944805	16	19	"Heart"	0
1	0.792119669982265	15	20	"Heart"	0
2	0.783235867446394	15	20	"Heart"	0
3	0.84274038090832	15	20	"Heart"	0
4	0.746629901960784	15	20	"Heart"	0
5	0.769434361766485	13	20	"Heart"	0
6	0.754442401960784	16	20	"Heart"	0
7	0.785384615384615	13	20	"Heart"	0
8	0.786147547198423	13	20	"Heart"	0
9	0.764630176394882	16	20	"Heart"	0
10	0.764	17	20	"Heart"	0
11	0.777845404747413	14	20	"Heart"	0
12	0.794884971143964	15	20	"Heart"	0
13	0.803232230392157	13	20	"Heart"	0
14	0.788164194333255	15	20	"Heart"	0
15	0.806846614603078	14	20	"Heart"	0
16	0.795289855072464	16	20	"Heart"	0
17	0.759230769230769	16	20	"Heart"	0
18	0.819781412293621	17	20	"Heart"	0
19	0.788724893487523	19	20	"Heart"	0
20	0.777883084388506	17	20	"Heart"	0
