"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
13	0.847209653092006	15	15	"Churn"	"Yes"	0.1
14	0.809122968207429	15	15	"Churn"	"Yes"	0.1
15	0.860178372352285	15	15	"Churn"	"Yes"	0.1
16	0.84816682567807	15	15	"Churn"	"Yes"	0.1
17	0.863336390818016	15	15	"Churn"	"Yes"	0.1
18	0.816928565148032	15	15	"Churn"	"Yes"	0.1
19	0.851689781322417	15	15	"Churn"	"Yes"	0.1
20	0.848172774402283	15	15	"Churn"	"Yes"	0.1
21	0.874153325123153	15	15	"Churn"	"Yes"	0.1
22	0.801467414760466	15	15	"Churn"	"Yes"	0.1
23	0.849006793678925	15	15	"Churn"	"Yes"	0.1
24	0.865702395589845	14	15	"Churn"	"Yes"	0.1
25	0.832918036933974	15	15	"Churn"	"Yes"	0.1
26	0.831412175648703	15	15	"Churn"	"Yes"	0.1
27	0.880218839782383	15	15	"Churn"	"Yes"	0.1
28	0.902868402351573	15	15	"Churn"	"Yes"	0.1
29	0.813404441117764	15	15	"Churn"	"Yes"	0.1
30	0.86093630277223	15	15	"Churn"	"Yes"	0.1
1	0.863261813069259	15	16	"Churn"	"Yes"	0.1
2	0.89720060331825	16	16	"Churn"	"Yes"	0.1
3	0.807481659499115	16	16	"Churn"	"Yes"	0.1
4	0.828274782135076	15	16	"Churn"	"Yes"	0.1
5	0.889457614942529	15	16	"Churn"	"Yes"	0.1
6	0.817732007575758	16	16	"Churn"	"Yes"	0.1
